engine,titled,moveNumber,rank,loss,advantage,ambiguous,timeConsistent,bot,blur
1,0,20,1,0,16,1,0,0,46
1,0,21,2,0,15,1,0,0,46
1,0,22,1,1,13,1,1,0,46
1,0,24,1,0,18,1,0,0,46
1,0,27,2,19,15,0,1,0,46
1,0,29,5,7,0,1,1,0,46
1,0,30,1,0,0,1,0,0,46
1,0,31,1,0,30,0,1,0,46
1,0,32,1,0,87,0,1,0,46
1,0,1,1,1,5,1,0,0,43
1,0,2,1,1,11,0,0,0,43
1,0,3,2,4,8,1,0,0,43
1,0,4,1,4,11,1,1,0,43
1,0,5,1,0,15,1,0,0,43
1,0,6,1,0,15,1,0,0,43
1,0,7,1,0,25,1,1,0,43
1,0,8,1,0,24,0,1,0,43
1,0,9,1,1,25,1,1,0,43
1,0,10,1,0,37,1,1,0,43
1,0,11,1,1,35,0,1,0,43
1,0,12,1,0,60,0,1,0,43
1,0,13,1,0,60,0,1,0,43
